method,quality,bpp,top1_accuracy,top5_accuracy
QMF,0,0.08016,0.07988,0.16884
QMF,0.5,0.08016,0.07988,0.16884
QMF,1,0.08016,0.07988,0.16884
QMF,1.5,0.08016,0.07988,0.16884
QMF,2,0.08016,0.07988,0.16884
QMF,2.5,0.12377,0.23312,0.41958
QMF,3,0.12377,0.23312,0.41958
QMF,3.5,0.12377,0.23312,0.41958
QMF,4,0.16730,0.42924,0.66310
QMF,4.5,0.16730,0.42924,0.66310
QMF,5,0.19307,0.50216,0.74078
QMF,5.5,0.23664,0.55568,0.79012
QMF,6,0.23667,0.55570,0.79012
QMF,6.5,0.23677,0.55566,0.79014
QMF,7,0.23677,0.55566,0.79014
QMF,7.5,0.27786,0.59732,0.82520
QMF,8,0.30336,0.61990,0.84132
QMF,8.5,0.30341,0.61990,0.84132
QMF,9,0.34339,0.64662,0.86242
QMF,9.5,0.34342,0.64662,0.86242
QMF,10,0.34344,0.64662,0.86240
QMF,10.5,0.38251,0.66722,0.87490
QMF,11,0.40672,0.67486,0.88024
QMF,11.5,0.40675,0.67486,0.88024
QMF,12,0.44498,0.68940,0.89048
QMF,12.5,0.44501,0.68940,0.89048
QMF,13,0.44506,0.68946,0.89052
QMF,13.5,0.48262,0.70286,0.89868
QMF,14,0.48265,0.70286,0.89868
QMF,14.5,0.50626,0.70634,0.90156
QMF,15,0.54345,0.71854,0.90646
QMF,15.5,0.54348,0.71854,0.90646
JPEG,0,0.20813,0.28548,0.47952
JPEG,1,0.20813,0.28548,0.47952
JPEG,2,0.20824,0.28528,0.48088
JPEG,3,0.21891,0.35330,0.56806
JPEG,4,0.24055,0.46518,0.69470
JPEG,5,0.26432,0.54794,0.77742
JPEG,6,0.28906,0.59748,0.81960
JPEG,7,0.31325,0.63360,0.84916
JPEG,8,0.33651,0.65724,0.86504
JPEG,9,0.35984,0.67354,0.87950
JPEG,10,0.38292,0.68756,0.88906
JPEG,11,0.40495,0.69790,0.89676
JPEG,12,0.42606,0.70614,0.90284
JPEG,13,0.44890,0.71334,0.90774
JPEG,14,0.46811,0.71990,0.91028
JPEG,15,0.48816,0.72662,0.91364
JPEG,16,0.50907,0.73072,0.91734
JPEG,17,0.52925,0.73454,0.92050
JPEG,18,0.54822,0.73812,0.92124
JPEG,19,0.56544,0.74160,0.92336
JPEG,20,0.58316,0.74352,0.92398
JPEG,21,0.60273,0.74716,0.92602
JPEG,22,0.62121,0.74982,0.92796
JPEG,23,0.63962,0.75246,0.92840
JPEG,24,0.65611,0.75314,0.92912
JPEG,25,0.67417,0.75490,0.93008
JPEG,26,0.69053,0.75654,0.93066
SVD,0,0.13987,0.05178,0.11742
SVD,0.2,0.13987,0.05178,0.11742
SVD,0.4,0.13987,0.05178,0.11742
SVD,0.6,0.13987,0.05178,0.11742
SVD,0.8,0.22373,0.14930,0.29084
SVD,1,0.22395,0.14930,0.29086
SVD,1.2,0.22404,0.14932,0.29088
SVD,1.4,0.31505,0.33400,0.55084
SVD,1.6,0.31517,0.33402,0.55090
SVD,1.8,0.31532,0.33404,0.55100
SVD,2,0.40944,0.49164,0.73498
SVD,2.2,0.40955,0.49166,0.73502
SVD,2.4,0.50243,0.55988,0.79376
SVD,2.6,0.50265,0.56000,0.79384
SVD,2.8,0.50279,0.56002,0.79384
SVD,3,0.59481,0.60676,0.83272
SVD,3.2,0.59512,0.60688,0.83286
SVD,3.4,0.68651,0.64482,0.85818
SVD,3.6,0.68662,0.64484,0.85818
SVD,3.8,0.68674,0.64488,0.85820
SVD,4,0.77731,0.67220,0.87816
