method,quality,bpp,top1_accuracy,top5_accuracy
JPEG,0.0,0.20815,0.27716,0.47018
JPEG,1.0,0.20815,0.27716,0.47018
JPEG,2.0,0.20826,0.27766,0.47116
JPEG,3.0,0.21893,0.34724,0.55884
JPEG,4.0,0.24063,0.4631,0.69172
JPEG,5.0,0.26443,0.5452,0.77196
JPEG,6.0,0.2892,0.59562,0.81844
JPEG,7.0,0.3134,0.6317,0.84742
JPEG,8.0,0.33668,0.6546,0.86448
JPEG,9.0,0.36003,0.67194,0.8781
JPEG,10.0,0.38316,0.68672,0.88826
JPEG,11.0,0.40519,0.69714,0.89526
JPEG,12.0,0.42634,0.7052,0.9015
JPEG,13.0,0.44924,0.71138,0.90596
JPEG,14.0,0.46849,0.71834,0.90982
JPEG,15.0,0.48859,0.72502,0.91294
JPEG,16.0,0.50948,0.72938,0.91608
JPEG,17.0,0.52974,0.7331,0.91884
JPEG,18.0,0.54872,0.73706,0.9209
JPEG,19.0,0.56597,0.74048,0.92268
JPEG,20.0,0.58373,0.7415,0.92326
JPEG,21.0,0.60325,0.74474,0.92594
JPEG,22.0,0.62193,0.74882,0.9267
JPEG,23.0,0.64025,0.75152,0.92848
JPEG,24.0,0.65675,0.7525,0.92864
JPEG,25.0,0.67496,0.75412,0.92998
JPEG,26.0,0.69136,0.75622,0.93126
JPEG,27.0,0.70826,0.75862,0.9319
JPEG,28.0,0.72612,0.75994,0.93214
JPEG,29.0,0.73945,0.7615,0.93294
JPEG,30.0,0.75645,0.7617,0.93342
JPEG,31.0,0.77349,0.76272,0.93424
JPEG,32.0,0.78841,0.7647,0.93478
JPEG,33.0,0.80651,0.76572,0.93602
JPEG,34.0,0.81793,0.76738,0.9363
JPEG,35.0,0.83647,0.76774,0.93686
JPEG,36.0,0.85177,0.7697,0.93792
JPEG,37.0,0.86182,0.77088,0.93778
JPEG,38.0,0.88014,0.7721,0.93808
JPEG,39.0,0.89443,0.77156,0.9387
JPEG,40.0,0.90149,0.772,0.93892
